input,expected
"{""model"": ""gpt-4o"", ""question_id"": 1, ""question"": ""Explain what Java enum does?"", ""answer"": ""Java enum is a special data type that enables a variable to be a set of predefined constants. It provides type safety and makes code more readable by defining a fixed set of constants."", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""Explain what Java enum does?""}, {""role"": ""human"", ""content"": ""Java enum is used to define a group of named constants. It provides type safety and makes code more readable.""}], ""guidance_amount"": 0, ""next"": []}","Correct understanding of Java enum functionality"
"{""model"": ""gpt-4o"", ""question_id"": 2, ""question"": ""What is the difference between ArrayList and LinkedList in Java?"", ""answer"": ""ArrayList uses dynamic arrays for storage with O(1) random access but O(n) insertion/deletion. LinkedList uses doubly-linked list with O(n) access but O(1) insertion/deletion at known positions."", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""What is the difference between ArrayList and LinkedList in Java?""}, {""role"": ""human"", ""content"": ""ArrayList is faster for accessing elements, LinkedList is faster for adding/removing elements.""}], ""guidance_amount"": 0, ""next"": []}","Partially correct - missing implementation details"
"{""model"": ""o3-mini"", ""question_id"": 3, ""question"": ""Explain Python decorators"", ""answer"": ""Python decorators are functions that modify or extend the behavior of other functions without permanently modifying them. They use the @decorator syntax and follow the wrapper pattern."", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""Explain Python decorators""}, {""role"": ""human"", ""content"": ""Decorators are like annotations in Java that add metadata to functions.""}], ""guidance_amount"": 0, ""next"": []}","Incorrect comparison - decorators modify behavior, not just metadata"
"{""model"": ""gpt-4o"", ""question_id"": 4, ""question"": ""What is REST API?"", ""answer"": ""REST (Representational State Transfer) is an architectural style for web services that uses HTTP methods (GET, POST, PUT, DELETE) to perform operations on resources identified by URLs. It's stateless and cacheable."", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""What is REST API?""}, {""role"": ""human"", ""content"": ""REST API is a web service that uses HTTP methods like GET and POST to interact with data. It's stateless and uses JSON for data exchange.""}], ""guidance_amount"": 0, ""next"": []}","Good understanding with minor missing details"
"{""model"": ""o3-mini"", ""question_id"": 5, ""question"": ""Explain database indexing"", ""answer"": ""Database indexing creates data structures that improve query performance by providing faster access paths to table data. Indexes speed up SELECT operations but slow down INSERT/UPDATE/DELETE operations."", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""Explain database indexing""}, {""role"": ""human"", ""content"": ""Indexing makes databases faster by creating shortcuts to find data quickly.""}], ""guidance_amount"": 0, ""next"": []}","Oversimplified but conceptually correct"
"{""model"": ""gpt-4o"", ""question_id"": 6, ""question"": ""What is polymorphism in OOP?"", ""answer"": ""Polymorphism allows objects of different types to be treated as instances of the same type through a common interface. It enables method overriding and overloading."", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""What is polymorphism in OOP?""}, {""role"": ""human"", ""content"": ""Polymorphism means many forms. It allows different classes to implement the same method differently.""}], ""guidance_amount"": 0, ""next"": []}","Correct basic understanding"
"{""model"": ""o3-mini"", ""question_id"": 7, ""question"": ""Explain SQL JOIN types"", ""answer"": ""SQL JOINs combine rows from multiple tables. INNER JOIN returns matching rows, LEFT JOIN returns all left table rows, RIGHT JOIN returns all right table rows, FULL OUTER JOIN returns all rows."", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""Explain SQL JOIN types""}, {""role"": ""human"", ""content"": ""There's INNER JOIN and OUTER JOIN. INNER gets matching records, OUTER gets everything.""}], ""guidance_amount"": 0, ""next"": []}","Incomplete - missing specific OUTER JOIN types"
"{""model"": ""gpt-4o"", ""question_id"": 8, ""question"": ""What is Docker?"", ""answer"": ""Docker is a containerization platform that packages applications and dependencies into lightweight, portable containers that can run consistently across different environments."", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""What is Docker?""}, {""role"": ""human"", ""content"": ""Docker is like a virtual machine but lighter. It packages apps with their dependencies.""}], ""guidance_amount"": 0, ""next"": []}","Good analogy and understanding"
"{""model"": ""o3-mini"", ""question_id"": 9, ""question"": ""Explain Git branching"", ""answer"": ""Git branching allows developers to create separate lines of development. Branches can be merged back to main branch. Common workflow includes feature branches, develop branch, and main/master branch."", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""Explain Git branching""}, {""role"": ""human"", ""content"": ""Branching lets you work on different features separately without affecting the main code.""}], ""guidance_amount"": 0, ""next"": []}","Basic understanding but lacks workflow details"
"{""model"": ""gpt-4o"", ""question_id"": 10, ""question"": ""What is Big O notation?"", ""answer"": ""Big O notation describes the upper bound of algorithm time complexity. It shows how algorithm performance scales with input size. Common complexities: O(1), O(log n), O(n), O(n²)."", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""What is Big O notation?""}, {""role"": ""human"", ""content"": ""Big O shows how fast or slow an algorithm is. O(1) is fastest, O(n²) is slow for large data.","Correct practical understanding""{""model"": ""gpt-4o"", ""question_id"": 11, ""question"": ""What is microservices architecture?"", ""answer"": ""Microservices architecture breaks applications into small, independent services that communicate via APIs. Each service handles specific business functionality and can be deployed independently."", ""rules"": """", ""inner_messages"": [], ""guidance_questions"": [], ""messages"": [{""role"": ""ai"", ""content"": ""What is microservices architecture?""}, {""role"": ""human"", ""content"": ""Microservices split big apps into smaller services that work independently.""}], ""guidance_amount"": 0, ""next"": []}",Simplified but correct concept
